country,monthStart,grossRevenue,returnsRevenue,returnRateAbs
Germany,2011-07-01,16440.98,-719.3199999999999,0.04375164984082457
Greece,2011-07-01,421.23999999999995,-50.0,0.11869717975500904
Israel,2011-07-01,1430.75,0.0,0.0
Italy,2011-07-01,147.10000000000002,0.0,0.0
Japan,2011-07-01,3854.4,0.0,0.0
Netherlands,2011-07-01,26.02,0.0,0.0
Norway,2011-07-01,890.0699999999998,0.0,0.0
Poland,2011-07-01,687.3,-8.850000000000001,0.012876473155827153
Portugal,2011-07-01,2287.85,0.0,0.0
Singapore,2011-07-01,3949.32,0.0,0.0
Spain,2011-07-01,7624.92,-46.75,0.00613121186845239
Sweden,2011-07-01,6802.089999999998,0.0,0.0
Switzerland,2011-07-01,3998.6099999999997,-222.0,0.05551929295430162
United Kingdom,2011-07-01,601994.8410000001,-36515.0,0.06065666599292334
Unspecified,2011-07-01,1425.4099999999999,0.0,0.0
Australia,2011-08-01,22489.199999999993,0.0,0.0
Austria,2011-08-01,1516.0799999999997,0.0,0.0
Belgium,2011-08-01,3554.02,-17.9,0.005036550160100393
Canada,2011-08-01,51.56,0.0,0.0
Channel Islands,2011-08-01,4896.78,-4.25,0.0008679172844195574
Denmark,2011-08-01,213.14999999999998,-134.55,0.6312456016889516
EIRE,2011-08-01,18353.75,-6196.280000000001,0.33760294217802905
Finland,2011-08-01,1376.5,-4.95,0.0035960770069015623
France,2011-08-01,13810.96,-21.7,0.001571215903890823
Germany,2011-08-01,19220.77,-197.12,0.010255572487470586
Hong Kong,2011-08-01,2813.949999999999,0.0,0.0
Iceland,2011-08-01,584.91,0.0,0.0
Israel,2011-08-01,4873.810000000005,0.0,0.0
Italy,2011-08-01,1990.9500000000003,-56.15,0.028202616841206455
Japan,2011-08-01,0.0,-49.78999999999999,
Malta,2011-08-01,1119.0,-15.75,0.014075067024128687
Netherlands,2011-08-01,40327.80999999998,-672.0,0.016663438951929208
Norway,2011-08-01,2025.81,-41.35,0.02041158845103934
Poland,2011-08-01,401.8,0.0,0.0
Portugal,2011-08-01,1221.3999999999999,-15.0,0.012280989028983136
Spain,2011-08-01,3346.91,-16.5,0.004929920434072025
Sweden,2011-08-01,1400.86,-9.899999999999999,0.007067087360621332
Switzerland,2011-08-01,4969.890000000001,-87.7,0.017646265812724223
United Kingdom,2011-08-01,585923.3600000001,-46792.86,0.07986174164484583
Unspecified,2011-08-01,531.03,0.0,0.0
Australia,2011-09-01,5106.73,-75.0,0.014686501929806355
Belgium,2011-09-01,4208.02,-10.2,0.002423942851982642
Channel Islands,2011-09-01,1323.7500000000002,-2.1,0.0015864022662889516
Cyprus,2011-09-01,196.35,0.0,0.0
Denmark,2011-09-01,4570.16,0.0,0.0
EIRE,2011-09-01,43086.55,-447.5,0.010386071755571054
Finland,2011-09-01,1105.45,0.0,0.0
France,2011-09-01,23428.04,-229.17,0.009781868222864566
Germany,2011-09-01,18091.22,-370.90999999999997,0.020502210464523673
Hong Kong,2011-09-01,2653.95,-2653.95,1.0
Israel,2011-09-01,423.73,0.0,0.0
Italy,2011-09-01,279.8,0.0,0.0
Japan,2011-09-01,112.08000000000001,0.0,0.0
Netherlands,2011-09-01,26937.26,0.0,0.0
Norway,2011-09-01,8678.939999999999,0.0,0.0
Poland,2011-09-01,529.25,0.0,0.0
Portugal,2011-09-01,1433.2199999999998,0.0,0.0
Spain,2011-09-01,5189.239999999999,-25.5,0.004914014383609161
Sweden,2011-09-01,4575.21,0.0,0.0
Switzerland,2011-09-01,8284.860000000002,-29.9,0.003608992789256546
United Arab Emirates,2011-09-01,1013.0400000000001,0.0,0.0
United Kingdom,2011-09-01,897076.4720000001,-35058.32,0.039080637040718194
Unspecified,2011-09-01,286.84999999999997,0.0,0.0
Australia,2011-10-01,17150.530000000002,0.0,0.0
Austria,2011-10-01,1043.7799999999997,0.0,0.0
Belgium,2011-10-01,5685.38,-34.0,0.0059802511001903124
Channel Islands,2011-10-01,2623.3199999999997,0.0,0.0
Cyprus,2011-10-01,4412.87,-196.35,0.044494852556272904
Czech Republic,2011-10-01,277.47999999999996,0.0,0.0
Denmark,2011-10-01,1490.76,-52.65,0.035317556145858485
EIRE,2011-10-01,24317.92,-1010.2999999999998,0.04154549402251508
Finland,2011-10-01,2822.1200000000003,-18.0,0.0063781837767352195
France,2011-10-01,33485.45000000001,-8453.410000000002,0.2524502433146336
Germany,2011-10-01,31638.42,-1024.15,0.0323704533917939
Hong Kong,2011-10-01,734.52,-10.95,0.014907694821107662
Iceland,2011-10-01,1294.3200000000002,0.0,0.0
Israel,2011-10-01,138.03000000000006,0.0,0.0
Italy,2011-10-01,3489.6899999999996,-78.9,0.022609458146712176
Japan,2011-10-01,1948.04,0.0,0.0
Netherlands,2011-10-01,40708.65,0.0,0.0
Norway,2011-10-01,3687.2299999999996,0.0,0.0
Portugal,2011-10-01,6206.669999999999,-622.04,0.10022121362985305
RSA,2011-10-01,1002.3099999999998,0.0,0.0
Singapore,2011-10-01,7067.32,-6068.0599999999995,0.858608355076606
Spain,2011-10-01,8636.940000000002,-3558.2899999999995,0.4119850317357766
Sweden,2011-10-01,5766.160000000001,0.0,0.0
Switzerland,2011-10-01,8065.18,-31.200000000000003,0.003868481546599084
USA,2011-10-01,2311.2,-1579.5100000000007,0.6834155417099346
United Kingdom,2011-10-01,938975.01,-61536.82,0.06553616373666855
Australia,2011-11-01,7242.72,-436.73,0.060299169372832306
Austria,2011-11-01,1329.7799999999997,0.0,0.0
Belgium,2011-11-01,6315.76,-86.35,0.013672147136686637
Channel Islands,2011-11-01,1514.7700000000007,-19.599999999999998,0.01293925810519088
Cyprus,2011-11-01,460.88999999999993,0.0,0.0
Czech Republic,2011-11-01,0.0,-61.51,
Denmark,2011-11-01,2699.5700000000006,0.0,0.0
EIRE,2011-11-01,30738.43,-325.38000000000005,0.010585446296378835
Finland,2011-11-01,3070.2400000000002,-120.0,0.03908489238626296
France,2011-11-01,31758.71,-1061.2,0.033414455436004804
Germany,2011-11-01,28025.02,-1980.67,0.07067506107042922
Hong Kong,2011-11-01,326.1,-326.1,1.0
Italy,2011-11-01,4571.08,-327.33,0.07160889767844798
Japan,2011-11-01,8460.08,0.0,0.0
Malta,2011-11-01,743.43,-160.81,0.21630819310493257
Netherlands,2011-11-01,25874.01,-18.0,0.0006956787911885325
Norway,2011-11-01,6527.500000000002,0.0,0.0
Poland,2011-11-01,1361.2299999999998,-19.36,0.014222431183561927
Portugal,2011-11-01,2644.9,0.0,0.0
Spain,2011-11-01,8678.96,-145.08999999999997,0.016717440799358448
Sweden,2011-11-01,2722.23,-109.52000000000001,0.04023172178691735
Switzerland,2011-11-01,8118.959999999996,-2.0,0.0002463369692669998
United Kingdom,2011-11-01,1325346.2100000002,-42540.43,0.03209759810608278
Unspecified,2011-11-01,965.75,0.0,0.0
Austria,2011-12-01,683.2,0.0,0.0
Belgium,2011-12-01,1417.73,-8.299999999999999,0.005854429263682083
Channel Islands,2011-12-01,198.4,-4.25,0.021421370967741934
Cyprus,2011-12-01,0.0,-91.25,
Denmark,2011-12-01,168.9,0.0,0.0
EIRE,2011-12-01,7340.89,-17.85,0.0024315852709957514
Finland,2011-12-01,1232.76,-2.08,0.0016872708394172426
France,2011-12-01,7276.919999999999,-228.08999999999997,0.03134430500816279
Germany,2011-12-01,7984.169999999999,-179.47,0.02247822879522856
Greece,2011-12-01,680.9900000000002,0.0,0.0
Iceland,2011-12-01,224.82000000000002,0.0,0.0
Italy,2011-12-01,200.45000000000005,0.0,0.0
Japan,2011-12-01,0.0,-116.93,
Malta,2011-12-01,0.0,-30.809999999999995,
Netherlands,2011-12-01,11728.02,0.0,0.0
Norway,2011-12-01,2785.7000000000007,0.0,0.0
Portugal,2011-12-01,2808.1900000000005,-6.24,0.0022220718683564856
Spain,2011-12-01,316.21,-44.78,0.14161474969166063
Sweden,2011-12-01,238.0,-238.0,1.0
USA,2011-12-01,885.2399999999999,-269.96000000000004,0.3049568478604673
United Kingdom,2011-12-01,592622.0900000001,-203886.66,0.3440416134336133
