qtyNet,lines,stockCode,description,revenuePos,revenueNeg,revenueNet
5536,356,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,20658.56,-3443.62,17214.94
10363,1137,22384,LUNCH BAG PINK POLKADOT,17435.19,-236.2,17198.99
5626,830,22698,PINK REGENCY TEACUP AND SAUCER,17551.760000000002,-387.5,17164.260000000002
9149,986,22077,6 RIBBONS RUSTIC CHARM,17205.37,-56.099999999999994,17149.27
2760,806,21754,HOME BUILDING BLOCK WORD,17049.920000000002,-118.60000000000001,16931.32
7240,651,82583,HOT BATHS METAL SIGN,17047.06,-133.46,16913.600000000002
8566,702,22385,JUMBO BAG SPACEBOY DESIGN,17081.86,-215.14,16866.72
4136,567,23240,SET OF 4 KNICK KNACK TINS DOILEY,17037.52,-206.70000000000002,16830.82
26437,390,22492,MINI PAINT SET VINTAGE,16937.82,-127.4,16810.420000000002
13198,858,20719,WOODLAND CHARLOTTE BAG,16759.75,-87.39999999999999,16672.35
12604,1111,22993,SET OF 4 PANTRY JELLY MOULDS,16507.23,-85.0,16422.23
3080,679,22835,HOT WATER BOTTLE I AM SO POORLY,18055.11,-1679.7,16375.41
1907,741,22624,IVORY KITCHEN SCALES,16528.31,-168.3,16360.01
12337,767,84978,HANGING HEART JAR T-LIGHT HOLDER,16477.53,-206.59,16270.94
8711,937,23301,GARDENERS KNEELING PAD KEEP CALM,16357.05,-168.89999999999998,16188.15
3589,474,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16164.04,-58.0,16106.04
4180,377,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,16045.970000000001,-127.5,15918.470000000001
8194,688,85152,HAND OVER THE CHOCOLATE   SIGN,15983.330000000002,-135.22,15848.11
11470,904,21232,STRAWBERRY CERAMIC TRINKET BOX,16263.800000000001,-443.25,15820.550000000001
2984,415,23313,VINTAGE CHRISTMAS BUNTING,15833.31,-64.35,15768.960000000001
6846,760,22379,RECYCLING BAG RETROSPOT,15636.99,-122.65,15514.34
2714,326,15056BL,EDWARDIAN PARASOL BLACK,15828.84,-652.5,15176.34
380,163,84078A,SET/4 WHITE RETRO STORAGE CUBES,16363.300000000001,-1248.25,15115.050000000001
5019,457,22084,PAPER CHAIN KIT EMPIRE,15122.970000000001,-120.95,15002.02
3037,339,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,14501.18,-22.9,14478.28
4703,564,22900,SET 2 TEA TOWELS I LOVE LONDON,14975.93,-552.6,14423.33
2041,416,48184,DOORMAT ENGLISH ROSE,14324.0,-47.7,14276.3
6465,590,22866,HAND WARMER SCOTTY DOG DESIGN,14410.62,-209.10000000000002,14201.52
2953,464,22507,MEMO BOARD RETROSPOT  DESIGN,14193.35,-33.95,14159.4
6447,720,21930,JUMBO STORAGE BAG SKULLS,14031.16,-6.24,14024.92
2190,603,82483,WOOD 2 DRAWER CABINET WHITE FINISH,15240.07,-1240.7,13999.37
4602,619,22083,PAPER CHAIN KIT RETROSPOT,14159.54,-165.20000000000002,13994.34
6292,576,22867,HAND WARMER BIRD DESIGN,14078.69,-111.30000000000001,13967.390000000001
7037,609,23200,mailout,14197.28,-243.63000000000002,13953.65
1612,578,22625,RED KITCHEN SCALES,14141.7,-198.05,13943.65
1329,272,22622,BOX OF VINTAGE ALPHABET BLOCKS,13931.31,-151.35,13779.96
852,409,22847,BREAD BIN DINER STYLE IVORY,14389.34,-711.8,13677.539999999999
10355,348,23077,DOUGHNUT LIP GLOSS,13720.77,-75.0,13645.77
53847,542,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13841.849999999999,-253.92,13587.929999999998
8053,697,22551,PLASTERS IN TIN SPACEBOY,13615.31,-47.849999999999994,13567.46
1751,489,21524,DOORMAT SPOTTY HOME SWEET HOME,13612.41,-48.9,13563.51
1666,389,22752,SET 7 BABUSHKA NESTING BOXES,14453.470000000001,-952.0000000000001,13501.470000000001
8110,501,23343,JUMBO BAG VINTAGE CHRISTMAS,13978.95,-505.68,13473.27
2377,502,23356,LOVE HOT WATER BOTTLE,13494.970000000001,-53.55,13441.42
1621,333,22941,CHRISTMAS LIGHTS 10 REINDEER,13812.92,-429.25,13383.67
7784,729,22554,PLASTERS IN TIN WOODLAND ANIMALS,13344.769999999999,-47.849999999999994,13296.919999999998
8647,792,22558,CLOTHES PEGS RETROSPOT PACK 24,13346.039999999999,-66.58,13279.46
2837,418,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13284.49,-29.64,13254.85
2157,393,23108,SET OF 10 LED DOLLY LIGHTS,13303.019999999999,-317.59999999999997,12985.42
1858,406,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13746.11,-876.35,12869.76
2087,412,22499,WOODEN UNION JACK BUNTING,12792.25,-23.8,12768.45
5521,556,82600,NO SINGING METAL SIGN,12835.28,-73.30000000000001,12761.980000000001
3204,595,22113,GREY HEART HOT WATER BOTTLE,12805.33,-104.25,12701.08
7403,780,23207,LUNCH BAG ALPHABET DESIGN,13360.2,-659.6,12700.6
1742,391,20750,RED RETROSPOT MINI CASES,12642.93,-47.7,12595.23
1762,394,20749,ASSORTED COLOUR MINI CASES,12614.17,-63.6,12550.57
2030,656,21755,LOVE BUILDING BLOCK WORD,12572.710000000001,-23.8,12548.91
1327,366,22607,WOODEN ROUNDERS GARDEN SET,12571.369999999999,-36.9,12534.47
9723,742,20723,STRAWBERRY CHARLOTTE BAG,12552.4,-62.71,12489.69
4870,191,22188,BLACK HEART CARD HOLDER,12487.17,-3.95,12483.220000000001
14443,944,21790,VINTAGE SNAP CARDS,12515.96,-72.25,12443.71
2042,529,22427,ENAMEL FLOWER JUG CREAM,12671.060000000001,-243.90000000000003,12427.160000000002
1152,578,22776,SWEETHEART CAKESTAND 3 TIER,13088.73,-863.0,12225.73
24753,896,21977,PACK OF 60 PINK PAISLEY CAKE CASES,12245.02,-55.550000000000004,12189.470000000001
2060,291,48188,DOORMAT WELCOME PUPPIES,12114.97,-40.05,12074.92
847,473,22424,ENAMEL BREAD BIN CREAM,12383.83,-342.6,12041.23
2969,342,23174,REGENCY SUGAR BOWL GREEN,12350.73,-345.2,12005.53
2244,402,47590B,PINK HAPPY BIRTHDAY BUNTING,12071.92,-124.10000000000001,11947.820000000002
3318,324,22158,3 HEARTS HANGING DECORATION RUSTIC,11944.880000000001,-71.75,11873.130000000001
2999,494,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,11928.45,-144.03,11784.42
1379,472,22193,RED DINER WALL CLOCK,11882.57,-192.95000000000002,11689.62
3972,346,22087,PAPER BUNTING WHITE LACE,11893.230000000001,-223.8,11669.43
6675,780,23300,GARDENERS KNEELING PAD CUP OF TEA,11815.689999999999,-231.6,11584.09
1526,452,22692,DOORMAT WELCOME TO OUR HOME,11555.56,-23.85,11531.71
3931,546,21936,RED RETROSPOT PICNIC BAG,11671.09,-157.10000000000002,11513.99
7103,270,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18069.280000000002,-6591.420000000001,11477.86
1080,352,21217,RED RETROSPOT ROUND CAKE TINS,11532.39,-89.55,11442.84
2916,490,22568,FELTCRAFT CUSHION OWL,12440.14,-1028.8200000000002,11411.32
4913,355,23581,JUMBO BAG PAISLEY PARK,11613.03,-224.76,11388.27
2117,449,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",11407.56,-78.5,11329.06
13195,1015,21080,SET/20 RED RETROSPOT PAPER NAPKINS,11319.36,-14.45,11304.91
2840,594,22730,ALARM CLOCK BAKELIKE IVORY,11479.65,-195.0,11284.65
4336,369,22041,"RECORD FRAME 7"" SINGLE SIZE",11354.560000000001,-93.75,11260.810000000001
3226,513,21481,FAWN BLUE HOT WATER BOTTLE,11466.37,-239.6,11226.77
9455,777,22356,CHARLOTTE BAG PINK POLKADOT,11420.289999999999,-201.53,11218.76
5449,572,22149,FELTCRAFT 6 FLOWER FRIENDS,12373.880000000001,-1158.3,11215.58
774,307,22605,WOODEN CROQUET GARDEN SET,11276.21,-97.0,11179.21
6707,706,22662,LUNCH BAG DOLLY GIRL DESIGN,11090.58,-28.049999999999997,11062.53
8384,538,20971,PINK BLUE FELT CRAFT TRINKET BOX,13838.1,-2778.77,11059.33
3759,422,22413,METAL SIGN TAKE IT OR LEAVE IT,11104.79,-53.10000000000001,11051.69
950,301,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,11338.27,-298.2,11040.07
4668,534,20711,JUMBO BAG TOYS,11014.62,-40.31,10974.31
1913,355,85014B,RED RETROSPOT UMBRELLA,10981.95,-11.9,10970.050000000001
8878,443,22988,SOLDIERS EGG CUP,10938.310000000001,-132.78,10805.53
13476,452,71459,HANGING JAM JAR T-LIGHT HOLDER,10858.89,-105.88,10753.01
