ordersGross,ordersCancelled,lines,country,monthStart,grossRevenue,returnsRevenue,netRevenue
3,0,182,Channel Islands,2011-03-01,3509.33,0.0,3509.33
1,0,48,Cyprus,2011-03-01,938.3900000000002,0.0,938.3900000000002
1,0,19,Denmark,2011-03-01,3978.9899999999993,0.0,3978.9899999999993
23,5,565,EIRE,2011-03-01,22197.51,-3414.28,18783.23
5,1,216,Finland,2011-03-01,5936.82,-12.2,5924.619999999999
25,3,550,France,2011-03-01,14589.55,-72.65,14516.9
32,10,604,Germany,2011-03-01,14392.690000000002,-222.67,14170.020000000002
1,0,22,Greece,2011-03-01,387.31,0.0,387.31
1,1,2,Hong Kong,2011-03-01,2583.76,-2583.76,0.0
4,2,85,Italy,2011-03-01,1806.8100000000004,-27.9,1778.9100000000003
3,4,24,Japan,2011-03-01,48.9,-122.56,-73.66
8,0,189,Netherlands,2011-03-01,22416.489999999998,0.0,22416.489999999998
4,3,33,Norway,2011-03-01,1265.31,-960.63,304.67999999999995
1,1,12,Poland,2011-03-01,317.78,-14.39,303.39
5,0,114,Portugal,2011-03-01,2660.8500000000004,0.0,2660.8500000000004
0,1,1,Saudi Arabia,2011-03-01,0.0,-14.75,-14.75
8,1,204,Spain,2011-03-01,5363.15,-36.5,5326.65
3,1,36,Sweden,2011-03-01,4720.580000000001,-180.0,4540.580000000001
3,0,58,Switzerland,2011-03-01,1870.23,0.0,1870.23
1519,283,33483,United Kingdom,2011-03-01,586230.28,-26522.89,559707.39
2,2,20,Australia,2011-04-01,771.6000000000001,-438.2,333.4000000000001
2,0,26,Austria,2011-04-01,680.78,0.0,680.78
6,3,123,Belgium,2011-04-01,1989.48,-35.33,1954.15
1,0,32,Brazil,2011-04-01,1143.6000000000001,0.0,1143.6000000000001
1,0,9,Channel Islands,2011-04-01,293.0,0.0,293.0
0,1,2,Cyprus,2011-04-01,0.0,-35.8,-35.8
0,1,2,Czech Republic,2011-04-01,0.0,-57.51,-57.51
11,0,306,EIRE,2011-04-01,7570.500000000001,0.0,7570.500000000001
1,0,11,European Community,2011-04-01,191.40000000000003,0.0,191.40000000000003
4,1,43,Finland,2011-04-01,1688.92,-62.11,1626.81
14,6,233,France,2011-04-01,5529.61,-1334.3999999999999,4195.21
23,8,462,Germany,2011-04-01,12315.54,-352.17,11963.37
1,0,31,Greece,2011-04-01,609.74,0.0,609.74
1,0,32,Hong Kong,2011-04-01,1539.6399999999996,0.0,1539.6399999999996
1,0,24,Iceland,2011-04-01,636.25,0.0,636.25
1,0,6,Israel,2011-04-01,110.0,0.0,110.0
2,0,22,Italy,2011-04-01,737.8299999999999,0.0,737.8299999999999
2,2,55,Japan,2011-04-01,6548.5,-1676.6699999999998,4871.83
3,0,24,Netherlands,2011-04-01,2976.5599999999995,0.0,2976.5599999999995
1,0,25,Poland,2011-04-01,705.8399999999999,0.0,705.8399999999999
2,0,77,Portugal,2011-04-01,1687.7500000000002,0.0,1687.7500000000002
3,2,62,Singapore,2011-04-01,8209.58,-6090.84,2118.739999999999
3,0,96,Spain,2011-04-01,1785.65,0.0,1785.65
2,0,34,Sweden,2011-04-01,809.1,0.0,809.1
4,3,83,Switzerland,2011-04-01,2076.9399999999996,-254.75,1822.1899999999996
1,0,22,USA,2011-04-01,383.95,0.0,383.95
1411,211,28038,United Kingdom,2011-04-01,476517.761,-34263.72,442254.041
1,0,16,Unspecified,2011-04-01,299.1,0.0,299.1
4,1,118,Australia,2011-05-01,13638.410000000003,-9.899999999999999,13628.510000000002
2,0,51,Austria,2011-05-01,1249.4299999999998,0.0,1249.4299999999998
2,0,17,Bahrain,2011-05-01,548.4,0.0,548.4
9,1,149,Belgium,2011-05-01,2732.4000000000005,-5.4,2727.0000000000005
1,0,1,Canada,2011-05-01,534.24,0.0,534.24
2,2,37,Channel Islands,2011-05-01,1207.24,-303.45,903.79
1,0,19,Denmark,2011-05-01,515.7,0.0,515.7
22,5,617,EIRE,2011-05-01,18008.760000000002,-87.41,17921.350000000002
39,4,728,France,2011-05-01,17614.88,-87.8,17527.079999999998
42,10,787,Germany,2011-05-01,25751.200000000004,-179.85,25571.350000000002
1,0,93,Hong Kong,2011-05-01,1966.1600000000005,0.0,1966.1600000000005
1,0,23,Italy,2011-05-01,587.45,0.0,587.45
1,0,12,Japan,2011-05-01,1351.4499999999998,0.0,1351.4499999999998
11,0,215,Netherlands,2011-05-01,29185.880000000005,0.0,29185.880000000005
3,0,69,Poland,2011-05-01,1522.37,0.0,1522.37
5,5,85,Portugal,2011-05-01,4202.2300000000005,-3614.4,587.83
4,0,105,Spain,2011-05-01,3257.5999999999995,0.0,3257.5999999999995
3,2,21,Sweden,2011-05-01,2681.98,-17.0,2664.98
3,1,153,Switzerland,2011-05-01,3610.0099999999998,-42.8,3567.21
1690,283,33672,United Kingdom,2011-05-01,639314.36,-42854.5,596459.86
2,0,58,Unspecified,2011-05-01,1055.8700000000001,0.0,1055.8700000000001
4,1,171,Australia,2011-06-01,25187.770000000008,-23.0,25164.770000000008
0,1,2,Austria,2011-06-01,0.0,-24.2,-24.2
11,1,231,Belgium,2011-06-01,4274.820000000001,-1.65,4273.17
1,0,57,Canada,2011-06-01,1171.4600000000003,0.0,1171.4600000000003
1,0,81,Channel Islands,2011-06-01,2060.0300000000007,0.0,2060.0300000000007
1,0,47,Cyprus,2011-06-01,1109.3199999999997,0.0,1109.3199999999997
3,0,106,Denmark,2011-06-01,3261.15,0.0,3261.15
28,8,670,EIRE,2011-06-01,24863.61,-4803.36,20060.25
2,1,21,European Community,2011-06-01,432.05,-8.5,423.55
1,0,13,Finland,2011-06-01,329.56,0.0,329.56
31,3,610,France,2011-06-01,16348.41,-356.53999999999996,15991.87
24,9,677,Germany,2011-06-01,13274.1,-193.07999999999998,13081.02
1,0,16,Hong Kong,2011-06-01,633.96,0.0,633.96
1,0,18,Iceland,2011-06-01,382.52,0.0,382.52
2,1,13,Italy,2011-06-01,202.07,-39.8,162.26999999999998
1,0,6,Japan,2011-06-01,1607.0399999999997,0.0,1607.0399999999997
2,1,47,Malta,2011-06-01,863.1600000000001,-12.75,850.4100000000001
11,1,325,Netherlands,2011-06-01,26858.089999999997,-15.0,26843.089999999997
4,0,166,Norway,2011-06-01,5886.860000000001,0.0,5886.860000000001
2,2,20,Poland,2011-06-01,343.65000000000003,-78.91,264.74
3,1,49,Portugal,2011-06-01,884.46,-4.95,879.51
8,1,182,Spain,2011-06-01,3333.21,-0.77,3332.44
3,0,35,Sweden,2011-06-01,832.0000000000001,0.0,832.0000000000001
4,1,129,Switzerland,2011-06-01,7904.149999999999,-21.95,7882.199999999999
1533,297,33173,United Kingdom,2011-06-01,619510.67,-65032.32,554478.3500000001
1,0,9,Unspecified,2011-06-01,185.78000000000003,0.0,185.78000000000003
7,2,217,Australia,2011-07-01,4964.38,-196.80999999999997,4767.570000000001
2,0,55,Austria,2011-07-01,1191.9499999999998,0.0,1191.9499999999998
5,1,129,Belgium,2011-07-01,2475.57,-1.95,2473.62
2,0,78,Canada,2011-07-01,1768.58,0.0,1768.58
1,0,17,Denmark,2011-07-01,376.24,0.0,376.24
27,4,717,EIRE,2011-07-01,42789.85,-49.2,42740.65
1,0,29,European Community,2011-07-01,676.8,0.0,676.8
3,0,83,Finland,2011-07-01,2996.7300000000005,0.0,2996.7300000000005
22,3,453,France,2011-07-01,10000.19,-111.19999999999999,9888.99
33,10,787,Germany,2011-07-01,16440.98,-719.3199999999999,15721.66
1,1,25,Greece,2011-07-01,421.23999999999995,-50.0,371.23999999999995
1,0,27,Israel,2011-07-01,1430.75,0.0,1430.75
1,0,6,Italy,2011-07-01,147.10000000000002,0.0,147.10000000000002
2,0,39,Japan,2011-07-01,3854.4,0.0,3854.4
1,0,10,Netherlands,2011-07-01,26.02,0.0,26.02
1,0,49,Norway,2011-07-01,890.0699999999998,0.0,890.0699999999998
2,1,33,Poland,2011-07-01,687.3,-8.850000000000001,678.4499999999999
3,0,89,Portugal,2011-07-01,2287.85,0.0,2287.85
1,0,75,Singapore,2011-07-01,3949.32,0.0,3949.32
9,1,181,Spain,2011-07-01,7624.92,-46.75,7578.17
3,0,54,Sweden,2011-07-01,6802.089999999998,0.0,6802.089999999998
6,2,180,Switzerland,2011-07-01,3998.6099999999997,-222.0,3776.6099999999997
1519,245,35964,United Kingdom,2011-07-01,601994.8410000001,-36515.0,565479.8410000001
4,0,221,Unspecified,2011-07-01,1425.4099999999999,0.0,1425.4099999999999
2,0,107,Australia,2011-08-01,22489.199999999993,0.0,22489.199999999993
2,0,88,Austria,2011-08-01,1516.0799999999997,0.0,1516.0799999999997
9,1,197,Belgium,2011-08-01,3554.02,-17.9,3536.12
1,0,5,Canada,2011-08-01,51.56,0.0,51.56
5,1,141,Channel Islands,2011-08-01,4896.78,-4.25,4892.53
1,1,19,Denmark,2011-08-01,213.14999999999998,-134.55,78.59999999999997
19,9,712,EIRE,2011-08-01,18353.75,-6196.280000000001,12157.47
3,1,62,Finland,2011-08-01,1376.5,-4.95,1371.5500000000002
28,1,571,France,2011-08-01,13810.96,-21.7,13789.26
39,9,820,Germany,2011-08-01,19220.77,-197.12,19023.649999999998
2,0,49,Hong Kong,2011-08-01,2813.949999999999,0.0,2813.949999999999
1,0,22,Iceland,2011-08-01,584.91,0.0,584.91
1,0,171,Israel,2011-08-01,4873.810000000005,0.0,4873.810000000005
4,3,101,Italy,2011-08-01,1990.9500000000003,-56.15,1934.8000000000002
0,1,8,Japan,2011-08-01,0.0,-49.78999999999999,-49.78999999999999
2,1,57,Malta,2011-08-01,1119.0,-15.75,1103.25
8,2,284,Netherlands,2011-08-01,40327.80999999998,-672.0,39655.80999999998
2,1,81,Norway,2011-08-01,2025.81,-41.35,1984.46
2,0,17,Poland,2011-08-01,401.8,0.0,401.8
1,1,42,Portugal,2011-08-01,1221.3999999999999,-15.0,1206.3999999999999
10,1,254,Spain,2011-08-01,3346.91,-16.5,3330.41
5,1,41,Sweden,2011-08-01,1400.86,-9.899999999999999,1390.96
3,5,277,Switzerland,2011-08-01,4969.890000000001,-87.7,4882.1900000000005
1307,239,31135,United Kingdom,2011-08-01,585923.3600000001,-46792.86,539130.5
2,0,23,Unspecified,2011-08-01,531.03,0.0,531.03
8,1,104,Australia,2011-09-01,5106.73,-75.0,5031.73
7,1,185,Belgium,2011-09-01,4208.02,-10.2,4197.82
2,1,66,Channel Islands,2011-09-01,1323.7500000000002,-2.1,1321.65
1,0,1,Cyprus,2011-09-01,196.35,0.0,196.35
3,0,46,Denmark,2011-09-01,4570.16,0.0,4570.16
38,13,1215,EIRE,2011-09-01,43086.55,-447.5,42639.05
4,0,33,Finland,2011-09-01,1105.45,0.0,1105.45
45,7,1055,France,2011-09-01,23428.04,-229.17,23198.87
41,16,807,Germany,2011-09-01,18091.22,-370.90999999999997,17720.31
1,1,2,Hong Kong,2011-09-01,2653.95,-2653.95,0.0
1,0,27,Israel,2011-09-01,423.73,0.0,423.73
1,0,15,Italy,2011-09-01,279.8,0.0,279.8
1,0,4,Japan,2011-09-01,112.08000000000001,0.0,112.08000000000001
7,0,242,Netherlands,2011-09-01,26937.26,0.0,26937.26
6,0,202,Norway,2011-09-01,8678.939999999999,0.0,8678.939999999999
2,0,30,Poland,2011-09-01,529.25,0.0,529.25
3,0,74,Portugal,2011-09-01,1433.2199999999998,0.0,1433.2199999999998
8,1,244,Spain,2011-09-01,5189.239999999999,-25.5,5163.739999999999
3,0,38,Sweden,2011-09-01,4575.21,0.0,4575.21
7,4,199,Switzerland,2011-09-01,8284.860000000002,-29.9,8254.960000000001
2,0,38,United Arab Emirates,2011-09-01,1013.0400000000001,0.0,1013.0400000000001
1802,288,45533,United Kingdom,2011-09-01,897076.4720000001,-35058.32,862018.1520000001
1,0,66,Unspecified,2011-09-01,286.84999999999997,0.0,286.84999999999997
4,0,114,Australia,2011-10-01,17150.530000000002,0.0,17150.530000000002
1,0,54,Austria,2011-10-01,1043.7799999999997,0.0,1043.7799999999997
11,2,267,Belgium,2011-10-01,5685.38,-34.0,5651.38
5,0,102,Channel Islands,2011-10-01,2623.3199999999997,0.0,2623.3199999999997
4,1,164,Cyprus,2011-10-01,4412.87,-196.35,4216.52
1,0,10,Czech Republic,2011-10-01,277.47999999999996,0.0,277.47999999999996
3,2,29,Denmark,2011-10-01,1490.76,-52.65,1438.1100000000001
31,6,929,EIRE,2011-10-01,24317.92,-1010.2999999999998,23307.62
6,1,115,Finland,2011-10-01,2822.1200000000003,-18.0,2804.1200000000003
35,8,898,France,2011-10-01,33485.45000000001,-8453.410000000002,25032.040000000008
58,15,1322,Germany,2011-10-01,31638.42,-1024.15,30614.27
2,1,35,Hong Kong,2011-10-01,734.52,-10.95,723.5699999999999
1,0,47,Iceland,2011-10-01,1294.3200000000002,0.0,1294.3200000000002
2,0,34,Israel,2011-10-01,138.03000000000006,0.0,138.03000000000006
7,2,169,Italy,2011-10-01,3489.6899999999996,-78.9,3410.79
2,0,16,Japan,2011-10-01,1948.04,0.0,1948.04
15,0,278,Netherlands,2011-10-01,40708.65,0.0,40708.65
7,0,120,Norway,2011-10-01,3687.2299999999996,0.0,3687.2299999999996
10,2,443,Portugal,2011-10-01,6206.669999999999,-622.04,5584.629999999999
1,0,58,RSA,2011-10-01,1002.3099999999998,0.0,1002.3099999999998
2,1,36,Singapore,2011-10-01,7067.32,-6068.0599999999995,999.2600000000002
8,3,323,Spain,2011-10-01,8636.940000000002,-3558.2899999999995,5078.6500000000015
3,0,47,Sweden,2011-10-01,5766.160000000001,0.0,5766.160000000001
8,2,385,Switzerland,2011-10-01,8065.18,-31.200000000000003,8033.98
2,1,226,USA,2011-10-01,2311.2,-1579.5100000000007,731.6899999999993
2046,315,54521,United Kingdom,2011-10-01,938975.01,-61536.82,877438.1900000001
6,2,45,Australia,2011-11-01,7242.72,-436.73,6805.99
2,0,70,Austria,2011-11-01,1329.7799999999997,0.0,1329.7799999999997
11,4,249,Belgium,2011-11-01,6315.76,-86.35,6229.41
3,1,75,Channel Islands,2011-11-01,1514.7700000000007,-19.599999999999998,1495.1700000000008
1,0,100,Cyprus,2011-11-01,460.88999999999993,0.0,460.88999999999993
0,2,3,Czech Republic,2011-11-01,0.0,-61.51,-61.51
2,0,83,Denmark,2011-11-01,2699.5700000000006,0.0,2699.5700000000006
42,11,1098,EIRE,2011-11-01,30738.43,-325.38000000000005,30413.050000000003
8,2,76,Finland,2011-11-01,3070.2400000000002,-120.0,2950.2400000000002
64,12,1580,France,2011-11-01,31758.71,-1061.2,30697.510000000002
68,20,1148,Germany,2011-11-01,28025.02,-1980.67,26044.35
1,1,2,Hong Kong,2011-11-01,326.1,-326.1,0.0
9,5,192,Italy,2011-11-01,4571.08,-327.33,4243.75
2,0,32,Japan,2011-11-01,8460.08,0.0,8460.08
1,2,18,Malta,2011-11-01,743.43,-160.81,582.62
15,1,226,Netherlands,2011-11-01,25874.01,-18.0,25856.01
5,0,183,Norway,2011-11-01,6527.500000000002,0.0,6527.500000000002
2,1,74,Poland,2011-11-01,1361.2299999999998,-19.36,1341.87
10,0,145,Portugal,2011-11-01,2644.9,0.0,2644.9
14,2,313,Spain,2011-11-01,8678.96,-145.08999999999997,8533.869999999999
5,3,80,Sweden,2011-11-01,2722.23,-109.52000000000001,2612.71
6,1,226,Switzerland,2011-11-01,8118.959999999996,-2.0,8116.959999999996
2742,371,78640,United Kingdom,2011-11-01,1325346.2100000002,-42540.43,1282805.7800000003
2,0,53,Unspecified,2011-11-01,965.75,0.0,965.75
1,0,7,Austria,2011-12-01,683.2,0.0,683.2
4,1,98,Belgium,2011-12-01,1417.73,-8.299999999999999,1409.4299999999998
1,1,6,Channel Islands,2011-12-01,198.4,-4.25,194.15
0,1,4,Cyprus,2011-12-01,0.0,-91.25,-91.25
1,0,11,Denmark,2011-12-01,168.9,0.0,168.9
10,2,335,EIRE,2011-12-01,7340.89,-17.85,7323.040000000001
3,1,14,Finland,2011-12-01,1232.76,-2.08,1230.68
18,3,339,France,2011-12-01,7276.919999999999,-228.08999999999997,7048.83
17,5,340,Germany,2011-12-01,7984.169999999999,-179.47,7804.699999999999
1,0,36,Greece,2011-12-01,680.9900000000002,0.0,680.9900000000002
1,0,11,Iceland,2011-12-01,224.82000000000002,0.0,224.82000000000002
1,0,8,Italy,2011-12-01,200.45000000000005,0.0,200.45000000000005
0,1,8,Japan,2011-12-01,0.0,-116.93,-116.93
0,1,5,Malta,2011-12-01,0.0,-30.809999999999995,-30.809999999999995
3,0,86,Netherlands,2011-12-01,11728.02,0.0,11728.02
3,0,73,Norway,2011-12-01,2785.7000000000007,0.0,2785.7000000000007
4,1,102,Portugal,2011-12-01,2808.1900000000005,-6.24,2801.9500000000007
2,1,71,Spain,2011-12-01,316.21,-44.78,271.42999999999995
1,1,2,Sweden,2011-12-01,238.0,-238.0,0.0
2,1,43,USA,2011-12-01,885.2399999999999,-269.96000000000004,615.2799999999999
796,126,23926,United Kingdom,2011-12-01,592622.0900000001,-203886.66,388735.4300000001
